Name,Platform,Genre,Release,Publisher,NA_Sales,JP_Sales,Critic_Score,Critic_Count,Developer,User_Score,User_Count
Yoshi's Island DS,DS,Platform,2006.0,Nintendo,145,110,81.0,42.0,Artoon,7.4,67.0
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Puzzle,2010.0,Nintendo,163,35,79.0,51.0,Nintendo,7.7,18.0
Nintendogs,DS,Simulation,2005.0,Nintendo,905,193,nan,nan,nan,nan,nan
Valkyrie Profile: Covenant of the Plume,DS,Role-Playing,2008.0,Square Enix,22,16,74.0,35.0,Tri-Ace,6.8,12.0
Dragon Quest Monsters: Joker 2,DS,Role-Playing,2010.0,Square Enix,9,124,77.0,33.0,TOSE,7.3,15.0
Personal Trainer: Cooking,DS,Misc,2006.0,Nintendo,90,103,81.0,12.0,Indies Zero,7.8,10.0
Pokemon Ranger: Shadows of Almia,DS,Role-Playing,2008.0,Nintendo,94,62,68.0,24.0,"HAL Labs, Creatures Inc.",8.2,27.0
Mega Man Zero Collection,DS,Platform,2010.0,Capcom,17,11,78.0,15.0,"Inti, Inti Creates",8.9,39.0
"999: Nine Hours, Nine Persons, Nine Doors",DS,Adventure,2009.0,ChunSoft,31,3,nan,nan,nan,nan,nan
Solatorobo: Red the Hunter,DS,Role-Playing,2010.0,Nintendo,8,7,76.0,40.0,CyberConnect2,7.9,23.0
Final Fantasy: The 4 Heroes of Light,DS,Role-Playing,2009.0,Square Enix,22,23,71.0,49.0,Matrix Software,7.1,38.0
Mario & Sonic at the Olympic Games,DS,Sports,2008.0,Sega,163,44,nan,nan,nan,nan,nan
Disney Fairies: Tinker Bell,DS,Adventure,2008.0,Disney Interactive Studios,85,1,nan,nan,"Genius Sonority Inc., Disney Interactive Studios",7.8,5.0
Picross 3D,DS,Puzzle,2009.0,Nintendo,28,16,83.0,35.0,HAL Labs,8.4,33.0
Brain Age: Train Your Brain in Minutes a Day,DS,Misc,2005.0,Nintendo,474,416,77.0,58.0,Nintendo,7.9,50.0
Wario: Master of Disguise,DS,Platform,2007.0,Nintendo,28,33,60.0,35.0,Suzak,7.4,19.0
Mystery Dungeon: Shiren the Wanderer,DS,Role-Playing,2006.0,Sega,17,33,69.0,27.0,ChunSoft,8.2,21.0
Infinite Space,DS,Role-Playing,2009.0,Sega,6,7,75.0,46.0,PlatinumGames,9,61.0
Meteos,DS,Puzzle,2005.0,Nintendo,15,6,88.0,49.0,Q Entertainment,7.5,164.0
Children of Mana,DS,Role-Playing,2006.0,Nintendo,16,28,65.0,34.0,Nex Entertainment,6,21.0
Front Mission,DS,Strategy,2007.0,Square Enix,1,3,72.0,19.0,Square Enix,8.9,9.0
KORG DS-10 Synthesizer Plus,DS,Misc,2009.0,AQ Interactive,7,2,nan,nan,nan,nan,nan
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,Action,2007.0,Capcom,24,31,nan,nan,nan,nan,nan
Etrian Odyssey,DS,Role-Playing,2007.0,Nintendo,19,9,75.0,30.0,"Lancarse, Atlus",8.5,37.0
Metal Slug 7,DS,Shooter,2008.0,Ignition Entertainment,12,1,70.0,38.0,SNK Playmore,7.4,13.0
Brain Age 2: More Training in Minutes a Day,DS,Puzzle,2005.0,Nintendo,343,532,77.0,37.0,Nintendo,7.1,19.0
The Legend of Zelda: Spirit Tracks,DS,Action,2009.0,Nintendo,140,74,87.0,75.0,Nintendo,7.8,228.0
Rhythm Heaven,DS,Misc,2008.0,Nintendo,55,193,83.0,48.0,Nintendo,9,63.0
Cooking Mama 2: Dinner With Friends,DS,Simulation,2007.0,505 Games,160,10,70.0,39.0,Office Create,8,9.0
Rooms: The Main Building,DS,Adventure,2010.0,Nintendo,10,1,56.0,23.0,HandMade Game,tbd,nan
Final Fantasy Tactics A2: Grimoire of the Rift,DS,Role-Playing,2007.0,Square Enix,38,30,80.0,47.0,Square Enix,6.9,106.0
Golden Sun: Dark Dawn,DS,Role-Playing,2010.0,Nintendo,51,13,79.0,63.0,Camelot Software Planning,8.1,86.0
Sonic Colors,DS,Platform,2010.0,Sega,69,1,79.0,26.0,Dimps Corporation,7.9,66.0
Ninja Gaiden: Dragon Sword,DS,Action,2008.0,Tecmo Koei,16,2,83.0,52.0,Team Ninja,7.8,36.0
Metroid Prime Pinball,DS,Misc,2005.0,Nintendo,21,2,79.0,51.0,Fuse Games Limited,7.9,32.0
Naruto Shippuden: Shinobi Rumble,DS,Fighting,2010.0,Takara Tomy,3,5,nan,nan,Takara Tomy,tbd,nan
The Rub Rabbits!,DS,Puzzle,2005.0,Sega,3,4,nan,nan,nan,nan,nan
Fossil Fighters: Champions,DS,Role-Playing,2010.0,Nintendo,31,34,68.0,8.0,"RED Entertainment, Artdink",7.1,11.0
Mario & Luigi: Bowser's Inside Story,DS,Role-Playing,2009.0,Nintendo,223,81,nan,nan,nan,nan,nan
Cooking Mama 3: Shop & Chop,DS,Simulation,2009.0,505 Games,79,8,nan,nan,nan,nan,nan
Mario & Sonic at the Olympic Winter Games,DS,Sports,2009.0,Sega,121,27,nan,nan,nan,nan,nan
Mr. Driller: Drill Spirits,DS,Puzzle,2004.0,Nintendo,8,5,70.0,35.0,Namco,8.9,9.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,2009.0,Nintendo,63,434,87.0,65.0,Level 5,8.8,197.0
Pokemon Trozei!,DS,Puzzle,2005.0,Nintendo,25,31,nan,nan,nan,nan,nan
Super Princess Peach,DS,Platform,2005.0,Nintendo,70,21,75.0,48.0,TOSE,7.6,33.0
Apollo Justice: Ace Attorney,DS,Adventure,2007.0,Capcom,28,64,78.0,48.0,Capcom,8.1,84.0
Sands of Destruction,DS,Role-Playing,2008.0,Sega,9,13,63.0,20.0,"Image Epoch, Imageepoch",7.9,18.0
Tamagotchi Connection: Corner Shop,DS,Simulation,2005.0,Atari,10,112,59.0,20.0,NanaOn-Sha,7.7,6.0
Toy Story 3: The Video Game,DS,Action,2010.0,Disney Interactive Studios,89,2,nan,nan,nan,nan,nan
New Super Mario Bros.,DS,Platform,2006.0,Nintendo,1128,650,89.0,65.0,Nintendo,8.5,431.0
Dragon Quest V: Hand of the Heavenly Bride,DS,Role-Playing,2008.0,Square Enix,17,136,84.0,46.0,ArtePiazza,8.5,57.0
